ID,Severity,Category,Status,Title,File(s),Lines,Description,Root Cause,User Impact,System Impact,Fix Description,Commit Hash
BUG-001,CRITICAL,Functional,FIXED,Component Instance Rendering Failures,src/core/component.js,72-128,"TypeError: instance.render is not a function for function components","Code assumes all components have render method, but function components return VNodes directly","Prevents use of function components (major functionality broken)","14+ test failures in dual-syntax.test.js","Added proper detection for function vs class components",783fcfb
BUG-002,CRITICAL,Performance/Memory,FIXED,Memory Leak in Computed Signals,src/core/signal.js,"162-168, 233-243","Observers are never properly removed from old dependencies","Code tries to access observers on public API object instead of internal signal structure","Application performance degrades over time","Memory usage grows unbounded in long-running apps","Implemented _removeObserver() cleanup method",783fcfb
BUG-003,HIGH,Memory,FIXED,Effect Cleanup Memory Leak,src/core/hooks.js,112-142,"Old cleanup functions are overwritten without being called","Direct replacement without cleanup call","Event listeners and subscriptions accumulate","Memory leaks in components with effects","Added defensive cleanup logic that calls old cleanup before replacing",783fcfb
BUG-004,HIGH,Memory/Resource Cleanup,FIXED,Form Debounce Timer Leak,src/forms/index.js,74-154,"Debounce timer persists after component unmount","No cleanup mechanism for debounce timer","Memory leaks in forms","Timers keep running after unmount","Added timer cleanup in reset() and comprehensive dispose() method",783fcfb
BUG-005,HIGH,Memory,FIXED,Form Validation Effect Cleanup Missing,src/forms/reactive-forms.js,165-331,"setTimeout creates timer without cleanup","Missing cleanup function in effect","Multiple validation calls accumulate","Memory leak from timeouts","Effect now returns cleanup function to clear timeout",783fcfb
BUG-006,CRITICAL,Code Quality/Import,FIXED,Missing Effect Import,src/forms/components.js,577,"Runtime error: effect is not defined","Missing import statement","Form components don't work at all","Runtime crashes","Added import { effect } from '../core/signal.js'",783fcfb
BUG-007,HIGH,Race Condition,PENDING,Router Race Condition in Navigation,src/router/index.js,141-228,"Multiple rapid navigate() calls cause race conditions","No mechanism to track in-flight navigations","Incorrect page rendering, navigation bugs","State corruption","Add navigationInProgress flag and currentNavigationId tracking",
BUG-008,MEDIUM,Race Condition,PENDING,Lazy Loading Component Race Condition,src/router/lazy-loading.js,48-71,"Multiple render() calls can trigger multiple loads","No locking mechanism","Multiple load attempts","Component load issues","Add loadStarted flag to prevent multiple load attempts",
BUG-009,HIGH,Null Safety,PENDING,Reconciler Null Reference Errors,src/core/reconciler.js,265-271,"Can throw 'Cannot read property dom of null'","Missing null checks for fiber parameter","Crashes on edge cases","Null pointer exceptions","Add fiber and fiber.parent validation before accessing properties",
BUG-010,HIGH,Memory,PENDING,Event Listener Memory Leak,src/render/patch.js,126-132,"Event listeners accumulate","Incomplete listener management","Memory leaks from event listeners","Growing memory usage","Always remove old listener before adding new one",
BUG-011,MEDIUM,Error Handling,PENDING,State Mutation Detection Failure,src/store/index.js,244-253,"JSON.stringify fails on circular refs","No error handling for serialization","Time travel debugging fails","Crashes on circular references","Wrap JSON operations in try-catch",
BUG-012,MEDIUM,Memory,PENDING,Effect Pool Contamination,src/core/signal-enhanced.js,299-326,"Pool might contain disposed effects","Inconsistent disposal flag handling","Unpredictable behavior","Contaminated object pool","Reset disposed flag when acquiring from pool",
BUG-013,MEDIUM,Validation,PENDING,Undefined Renderer Methods,src/core/portal.js,9-10,"Could fail if renderer not initialized","Missing validation of renderer API","Portal fails silently","Undefined method errors","Add renderer validation before method calls",
BUG-014,MEDIUM,Import,FIXED,Missing Hook Dependencies in Transitions,src/router/transitions.js,160-187,"Runtime errors for missing imports","Missing imports","Router transitions don't work","Runtime crashes","Added useState, useRef, useEffect, html imports",783fcfb
BUG-015,MEDIUM,Code Quality,PENDING,Field Value Access Issues,src/forms/components.js,"44, 111, 184","Displays signal object instead of value","Incorrect signal API usage","Wrong values displayed in forms","Form display issues","Change field.value to field.value.value",
BUG-016,MEDIUM,Import,FIXED,Missing useState Import in Suspense,src/core/suspense.js,"245, 269, 282, 330","useState is not defined","Missing import","Suspense components don't work","Runtime crashes","Added useState, useEffect imports",783fcfb
BUG-017,LOW,Code Quality,PENDING,Hardcoded Environment Check,src/core/error-boundary.js,"122, 326, 433","Could throw reference error","Direct process.env access","Possible crashes in some environments","Reference errors","Use safe environment detection",
BUG-018,LOW,Import,PENDING,Missing HTML Import in Layouts,src/router/layouts.js,308-352,"html function not defined","Missing import","Layout components don't work","Runtime crashes","Add html import",
BUG-019,LOW,SSR Compatibility,PENDING,Event Delegation SSR Issue,src/core/performance.js,193-209,"Fails in SSR context","No document check","SSR fails","Server-side crashes","Check for document before setup",
BUG-020,LOW,Race Condition,PENDING,Form Validation Edge Case,src/forms/reactive-forms.js,440-453,"Could submit before validation completes","Missing await","Invalid data submitted","Race condition in validation","Add await for async validation",
SECURITY-001,CRITICAL,Security,FIXED,Critical Dependency Vulnerability,package-lock.json,N/A,"form-data uses unsafe random function (CVE GHSA-fjxv-7rqg-78g4)","Outdated dependency version","Security vulnerability","Unsafe random boundary generation","Updated via npm audit fix",783fcfb
CONFIG-001,MEDIUM,Configuration,FIXED,Jest Haste Module Collision,jest.config.cjs,N/A,"Duplicate package.json files causing Jest naming collision","dist/ directory included in Jest scan","Test warnings","Confusing test output","Added modulePathIgnorePatterns to exclude dist/",783fcfb
