BUG-ID,Severity,Category,File,Lines,Description,Impact,Status,Fix Complexity,Estimated Hours
BUG-S5-001,CRITICAL,Memory Leak,component.js|signal-enhanced.js|reconciler.js,103-118|53-60|77-81,Dual-syntax test memory leak - multiple sources,Framework verification blocked,NOT FIXED,HIGH,16
BUG-S5-002,CRITICAL,Security-XSS,dom.js|jsx-runtime.js|directives.js|i18n.js|performance.js,152-153|66-68|162-170|331-332|255-258,innerHTML without sanitization - 5 locations,Site compromise via XSS,NEW,MEDIUM,8
BUG-S5-003,CRITICAL,Security-Auth,guards.js,120|129,Authentication tokens in localStorage,Account takeover risk,NEW,MEDIUM,12
BUG-S5-004,CRITICAL,Memory Leak,directives.js,70|78|88|97|105,Directive event listeners never cleaned up,Memory leak with forms,NEW,MEDIUM,6
BUG-S5-005,CRITICAL,Memory Leak,virtualization.js,82|190,VirtualList scroll handler bind() leak,Performance degradation,NEW,LOW,2
BUG-S5-006,CRITICAL,Error Handling,service-worker.js,434-435|485-487|491-493|595-597,Unhandled promise rejections - 4 instances,Silent failures,NEW,LOW,4
BUG-S5-007,CRITICAL,Memory Leak,portal.js,262-266|324,Modal backdrop listener never removed,Memory leak,NEW,LOW,2
BUG-S5-008,CRITICAL,Security-Pollution,enhanced-parser.js,216,Prototype pollution via spread props,Object.prototype compromise,NEW,MEDIUM,4
BUG-S5-009,CRITICAL,Memory Leak,reconciler.js,77-81,Effects created without cleanup tracking,Memory leak,NEW,MEDIUM,4
BUG-S5-010,HIGH,Memory Leak,compiler.js,151|154,Template compiler event listeners leak,Memory accumulation,NEW,MEDIUM,6
BUG-S5-011,HIGH,Memory Leak,portal.js,117-123,Portal active effect not disposed,Memory leak,NEW,LOW,2
BUG-S5-012,HIGH,Functional-API,index.js (router),98-106,Missing return value in push(),Async navigation broken,NEW,LOW,1
BUG-S5-013,HIGH,Functional-Loop,virtual-scroller.js,46-70,Infinite loop risk in visibleRange,Rendering issues,NEW,MEDIUM,4
BUG-S5-014,HIGH,Functional-Array,index.js (store),244-265,Off-by-one error in history,Time-travel debugging broken,NEW,MEDIUM,3
BUG-S5-015,HIGH,Functional-Async,reactive-forms.js,165-188,Race condition in validation,Inconsistent validation,NEW,MEDIUM,6
BUG-S5-016,HIGH,Functional-Edge,patch.js,147-166,Missing null checks in patchChildren,Runtime crashes,NEW,LOW,2
BUG-S5-017,HIGH,Functional-State,hooks.js,107-122,useEffect runs twice on mount,Duplicate side effects,NEW,MEDIUM,4
BUG-S5-018,HIGH,Functional-Type,index.js (router),323-325,Route params undefined risk,Navigation failures,NEW,MEDIUM,3
BUG-S5-019,HIGH,Functional-Math,virtualization.js,107-108,Division by zero in grid,Runtime error,NEW,LOW,1
